,Message,Category
0,without this the video calls could potentially be gross breach of privacy,Security Class
1,collects way too much unneeded information about user from the device as well as linked accounts,Security Class
2,why exctly do you need full read access to my google or facebook account again,Security Class
3,more private than fb messenger,Security Class
4,"this app is the best message and chat service, but yet could provide security lock, chat hide, app icon hide, etcetcto provide private and personal chat from friends, family, etcetc and can also have font styles",Security Class
5,"new policy that data, including contacts, is shared with facebook, and can't even opt out or even use it without giving access to contacts",Security Class
6,i don't like sharing my personal information with facebook,Security Class
7,it offers both instant messaging and calling services with strong end-to-end encryption algorithm to prevent eavesdropping and spying acts by anti-internet government,Security Class
8,just stop spying and selling all our data,Security Class
9,it really annoys me when random contacts try to video call me,Security Class
10,"not secured, no privacy and share info with whatsapp,",Security Class
11,"if you want to share any file install skydrive, upload file and tap on share with whatsapp",Security Class
12,it will share the private link to the file,Security Class
13,"with the ever growing problem of spying and privacy violations, it is more and more important to always use communications that use end to end encryption",Security Class
14,how dare you to share & read our personal data with facebook & others,Security Class
15,not as good as bbm but ok no security,Security Class
16,ads and information stolen,Security Class
17,"app has grown in usability, however, i worry about privacy",Security Class
18,more private than fb ,Security Class
19,i have updated my whatsapp then also i am not able to see video calling option and my android version is also,Security Class
20,"i own a redmi  s in which the previous update was working fine but the latest update sometimes doesn't show last seen, typing and other indicators, and also gets hanged often",Security Class
21,why it cannot run in samsung gt s new version of whatsapp,Security Class
22,my video calling feature is not visible or present yet i have just updated,Security Class
23,in new update not working video calling,Security Class
24,"after this latest update, whenever i send any music file to anyone it suddenly shows that whatsapp has stopped working",Security Class
25,this new update is crashing on my samsug s,Security Class
26,we think its time we change that make it easy on all android phones,Security Class
27,my samsung mobile sound is getting off after making whatsapp call and everytime i have to restart my phone,Security Class
28,"im huawei  c user, after update whatsapp, the whatsapp s notification does not notify me anymore",Security Class
29,the app keeps crashing after the last update my device is galaxy s  os android,Security Class
30,it keeps crashing million times a day after the last update,Security Class
31,i couldn't update whatsapp for month i guess or  months then now i update it then i received but i couldn't open they said you want back up i said yes then they said you must delete some apps so i did then i closed my phone because it's doesn't respond,Security Class
32,it mostly happens in samsung mobile phone that whenever i use internet or doing something else it do not give me notifictaion that you have message,Security Class
33,ever since i updated the app to the latest version it crashes every now,Security Class
34,unable to make video calls on samsung s  duos,Security Class
35,"i was so happy but after i update the new version, it doesn't work",Security Class
36,i update what's app in new version have little issue the media and tex show on screen during use another app or anything like this,Security Class
37,this didn't happen before but after the new update locking the iphone  s hangs up the call,Security Class
38,with the recent update rolled out the calls n video calls do not get connected over wifi it say connecting,Security Class
39,i update wats app but the video call and voice call not working propey whenever i call with my freind the face is not showing some greenish effect will show in my screen i not see my freind properly one other problem is that whenever i send message after,Security Class
40,ever since last update i have a problem of msgs not getting delivered to me when others send it,Security Class
41,this problem exsts for my friend who also owns moto g,Security Class
42,"i am a bit dissapointed in the restriction to installing and history disappearing when changing to a different device, or having it installed on multiple devices",Security Class
43,may be they ignore compatibily issues to add new features,Security Class
44,since the very first day i updated the app my phone keeps freezing whenever i want to make calls,Security Class
45,when i update this am facing problem to type and send hanging and app directly close and start,Security Class
46,new version is not working at ol,Security Class
47,"now, it is working properly after updating my os",Security Class
48,i updated to new version which gives video calling facility but the app hangs a lot of times & on getting back many messages get deleted,Security Class
49,it tells me that the device and sd card does not support the media files,Security Class
50,"after the latest update my whatsapp isn't working properly, its hanged during voice and video calls and forced stop, i am using samsung galaxy a       android version is",Security Class
51,"since the update i'm unable to place a call because    seconds in, it crashes",Security Class
52,hi with the new update when i send gif images or audio files they seem to get scrambled and broken,Security Class
53,after update not be able to capture pics from what's app ,Security Class
54,after the latest update the app is crashing again and again,Security Class
55,"after video call updates, why does the quality of voice call reduce",Security Class
56,"i have just updated it and i can make video calls but i cant see the person am chatting with,but they can see me",Security Class
57,can't add caption on latest update on nougat,Security Class
58,can't forward any message or picture aftrr update last version,Security Class
59,have been using whatsapp since and didn't have any problem with that but ever since this new updates my messages takes more   mins before it goes through even sometimes it doesn't,Security Class
60,but why isn't it not compatible with my samsung galaxy android lollipop tablet device why,Security Class
61,"when will it be available and compatible for hp windows, it says ""its coming soon""",Security Class
62,what about recent chat when we changed different operating system's phone  for exmple samsung s  to iphone,Security Class
63,the recent update made my whatsapp very slow,Security Class
64,my whatsapp is nt responding after the last update,Security Class
65,"i uninstalled it & reinstall it, still not working",Security Class
66,ever since the new update i click on the app and it just crashes can someone help me,Security Class
67,"after this update, my whatsapp won't start, stuck in the white screen",Security Class
68,"after the updates, it becomes so buggy and lags and sometimes even crash on my samsungj",Security Class
69,when ever i try to update it shows code error,Security Class
70,"but ever since this new updates my massages takes more than    mnts, before it goes through ever smetymes it doesn't",Security Class
71,post update whatsapp is showing blank screen,Security Class
72,its not working because i have space in my phone update version still i cnt download any photos or send any photos,Security Class
73,"after updated crash cannot open, please fix it",Security Class
74,not compatible - some icons are not showing the exct emoji in samsung note,Security Class
75,how to solve error code during installation,Security Class
76,keeps crashing after last update,Security Class
77,update seems to be non functional and constantly crashes,Security Class
78,coz not compatible with samsung s advance,Security Class
79,but new version video calling is not wrking,Security Class
80,"do not want on my phone, cannot uninstall",Security Class
81,after updating it don't work,Security Class
82,after update its shows for many msg wating for this msg what is this plz fix it,Security Class
83,blank screen after last update,Security Class
84,update whatsapps app not work properly,Security Class
85,"in honor  , it's not responding after the new update is installed",Security Class
86,since new update my what's app has not worked,Security Class
87,"this new version is making things worse, i cant send sms and they delay so much over wifi and makes things hard over mobile data",Security Class
88,since new update my what's app has not worked,Security Class
89,make it compatible with my phone,Security Class
90,cant install apps,Security Class
91,make it compatible with my phone,Security Class
92,its lagging after this latest update :,Security Class
93,after the last update i cant download any media in my device,Security Class
94,"after the latest update, this app keeps crashing again n again while downloading the videos",Security Class
95,with the recent update both leads to just the same camera integration app,Security Class
96,new version us full of bugs and causing huge problems,Security Class
97,lagging a bit after latest update ,Security Class
98,latest version is not compatible with ios 6,Security Class
99,"during the ios8 update, my ipad randomly disabled itself and then the only option left was to system restore",Security Class
100,crappy update made me lose almost everything,Security Class
101,"they always show up on my phone, but it takes forever on my ipad",Security Class
102,it's especially good for ipad or maybe iphone 6/ iphone 6 plus,Security Class
103,the ios 8.3 for my ipad mini 2 screwed up my ibooks bookcase,Security Class
104,"the update ruined my reading order (pain to move books around, makes me dizzy)",Security Class
